row_type,source_or_field,title_or_value,relationship,equation_anchor,doi,url
source,PENNER_MODIFIED_GRAS_AQUAL_2026,Towards a general field equation for galaxies and galaxy clusters,close_behavioral_equivalent_not_exact_rewrite,Equations 40 through 45,10.1007/s10509-026-04548-6,https://arxiv.org/abs/2602.09249
source,BEKENSTEIN_MILGROM_AQUAL_1984,Does the missing mass problem signal the breakdown of Newtonian gravity?,known_family_parent,AQUAL modified Poisson equation,10.1086/162570,https://articles.adsabs.harvard.edu/pdf/1984ApJ...286....7B
source,MATSAKOS_DIAFERIO_REFRACTED_GRAVITY_2016,Dynamics of galaxies and clusters in refracted gravity,known_family_parent,Equation 3,10.48550/arXiv.1603.04943,https://arxiv.org/abs/1603.04943
source,CHICONE_MASHHOON_NONLOCAL_POISSON_2012,Nonlocal Gravity: Modified Poisson's Equation,known_family_parent,Equations 2 through 4,10.1063/1.3702449,https://arxiv.org/abs/1111.4702
source,ZHAO_FAMAEY_EMOND_2012,Unifying all mass discrepancies with one effective gravity law?,known_behavioral_motif,Potential-dependent effective force law,10.1103/PhysRevD.86.067301,https://arxiv.org/abs/1207.6232
source,MOFFAT_MOG_ACCELERATION_2016,Acceleration in Modified Gravity (MOG) and the Mass-Discrepancy Baryonic Relation,known_family_comparator,Weak-field Yukawa-like MOG acceleration law,10.48550/arXiv.1610.06909,https://arxiv.org/abs/1610.06909
source,VERLINDE_EMERGENT_GRAVITY_2016,Emergent Gravity and the Dark Universe,known_behavioral_motif,Elastic-response apparent-dark-gravity relation,10.21468/SciPostPhys.2.3.016,https://arxiv.org/abs/1611.02269
source,NFW_HALO_1996,The Structure of Cold Dark Matter Halos,known_standard_comparator,NFW density profile,10.1086/177173,https://arxiv.org/abs/astro-ph/9508025
source,NAVARRO_EINASTO_LIKE_2004,The Inner Structure of LambdaCDM Halos III: Universality and Asymptotic Slopes,known_standard_comparator,Continuously varying logarithmic-slope halo profile,10.1111/j.1365-2966.2004.07307.x,https://arxiv.org/abs/astro-ph/0311231
source,ARNAUD_GNFW_PRESSURE_2010,The universal galaxy cluster pressure profile from a representative sample of nearby systems and the Y_SZ-M_500 relation,known_empirical_comparator,Generalized NFW pressure profile,10.1051/0004-6361/200913416,https://arxiv.org/abs/0910.1234
adjudication,allowed_label,potentially_new_exact_combination_of_known_motifs_with_a_close_2026_behavioral_neighbor,,,,
adjudication,close_behavioral_equivalent_identified,true,,,,
adjudication,closest_behavioral_source_id,PENNER_MODIFIED_GRAS_AQUAL_2026,,,,
adjudication,exact_rewrite_identified,false,,,,
adjudication,historical_novelty_resolved,false,,,,
adjudication,known_combination_components_identified,true,,,,
adjudication,known_family_components_identified,true,,,,
adjudication,prohibited_label,historically_novel_gravity_law,,,,
adjudication,required_manuscript_action,"Compare the candidate directly with Penner equations 40-45, AQUAL, refracted gravity, nonlocal gravity, EMOND, MOG, emergent gravity, NFW, Einasto-like halos, and GNFW pressure; obtain named expert review before any novelty sentence.",,,,
adjudication,structurally_unmatched_exact_combination,true,,,,
