closure_id,family,status,same_law_gate,massive_particle_acceleration,photon_characteristic,deflection,shapiro_delay,gravitational_redshift,image_time_delay,distance_duality_and_chromaticity,tensor_cone,health_flags
L00_GR_BARYON_METRIC,null_control_single_metric,KNOWN_COMPARATOR,PASS,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,
L01_GR_STARS_NFW_DARK_MATTER,dark_matter_lens_model_comparator,KNOWN_COMPARATOR,PASS,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,
L02_UNIVERSAL_CONFORMAL_SCALAR,conformal_scalar,RETAINED_EXACT_COUNTEREXAMPLE,PASS,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,BLOCKED,DIRECT_CONFORMAL_SCALAR_FORCE_CANCELS_FROM_PHI_PLUS_PSI;SCALAR_STRESS_ENERGY_LENSING_NOT_INCLUDED
L03_SCALAR_SLIP_METRIC,slip_scalar,OPEN_PHENOMENOLOGICAL_COMPLETION,PASS,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,BLOCKED,COVARIANT_ACTION_MISSING;ANISOTROPIC_STRESS_SOURCE_MISSING
L04_TEVES_DISFORMAL_VECTOR_SCALAR,disformal_scalar_vector_metric,KNOWN_RELATIVISTIC_MOND_COMPARATOR,PASS,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,BLOCKED,FULL_TEVES_FREE_FUNCTION_AND_BACKGROUND_NOT_IMPLEMENTED;GW_SPEED_VERSION_DEPENDENT
L05_TIED_REFRACTIVE_CONSTITUTIVE,refractive_constitutive,OPEN_STRONGLY_CONSTRAINED,PASS,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,BLOCKED,CHROMATIC;EQUIVALENCE_PRINCIPLE_RISK;MEDIUM_ENERGY_MOMENTUM_LEDGER_MISSING
L06_SPATIAL_NONLOCAL_SINGLE_METRIC,nonlocal_spatial_metric,ADVANCE_TO_SOURCE_ONLY_3D_PREDICTIONS,PASS,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,BLOCKED,COVARIANT_RETARDED_KERNEL_NOT_DERIVED;BOUNDARY_CONDITIONS_REQUIRED
L07_TIED_PATH_MEMORY_CHARACTERISTIC,nonlocal_path_memory,OPEN_UNCONVENTIONAL_RETAIN,PASS,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,BLOCKED,PHOTON_NUMBER_OR_RESERVOIR_LEDGER_REQUIRED;ROUND_TRIP_AND_DISTANCE_DUALITY_RISK;COVARIANCE_NOT_ESTABLISHED
L08_CAUSAL_METRIC_MEMORY,causal_metric_memory,LEAD_CROSS_CHANNEL_CANDIDATE,PASS,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,BLOCKED,MEMORY_STRESS_ENERGY_NOT_DERIVED;FULL_COVARIANT_STATE_EQUATION_MISSING
L09_MASSIVE_CONFORMAL_SCALAR,massive_scalar_mediator,KNOWN_MEDIATOR_COMPARATOR,PASS,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DIRECT_SCALAR_LENSING_CANCELLATION;SCREENING_REQUIRED_FOR_LOCAL_TESTS
L10_MASSIVE_VECTOR_SINGLE_METRIC,massive_vector_mediator,OPEN_MEDIATOR_COMPLETION,PASS,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,UNIVERSAL_VECTOR_CHARGE_AND_LONGITUDINAL_MODE_HEALTH_NOT_ESTABLISHED
L11_MASSIVE_SPIN2_FIXED_SLIP,massive_tensor_mediator,KNOWN_MASSIVE_GRAVITY_COMPARATOR,PASS,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,VDVZ_VAINSHtein_NONLINEAR_COMPLETION_REQUIRED;GHOST_FREEDOM_NOT_ESTABLISHED_BY_LINEAR_FIXTURE
L12_PURE_PHOTON_REFRACTION_FAILURE,negative_same_law_control,RETAINED_FAILURE,FAIL_RETAINED,DERIVED_BUT_DISCONNECTED_FAIL,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,BLOCKED,FAILS_SAME_LAW_GATE;CHROMATIC;EQUIVALENCE_PRINCIPLE_RISK
L13_MASSIVE_ONLY_ACCELERATION_FAILURE,negative_underdefinition_control,RETAINED_FAILURE,FAIL_RETAINED,DERIVED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,FAILS_ITEM60_UNIQUE_COMPLETION_GATE
L14_EXACT_GRADIENT_PATH_REWRITE,equivalent_rewrite_control,FAIL_NOT_DISTINCT,PASS,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,OBSERVATIONALLY_IDENTICAL_TO_L00_ON_SIMPLY_CONNECTED_STATIC_FIXTURES
L15_NONRELATIVISTIC_AQUAL_ONLY,mond_nonrelativistic_comparator,KNOWN_INCOMPLETE_COMPARATOR,FAIL_RETAINED,DERIVED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,REQUIRES_RELATIVISTIC_COMPLETION_SUCH_AS_TEVES_BEFORE_LENSING
