card_id,equation_id,kind,lhs,rhs,dimension
Q00_GR_COHERENT_SPIN2_CONTROL,Q00.E1,dispersion,omega^2,c^2 k^2,T^-2
Q00_GR_COHERENT_SPIN2_CONTROL,Q00.E2,relative_noise,sigma_N/mean_N,N^(-1/2),1
Q01_MASSIVE_SPIN2,Q01.E1,dispersion,omega^2,c^2(k^2+mu^2),T^-2
Q01_MASSIVE_SPIN2,Q01.E2,group_delay,Delta_t,D(omega/(c^2 k)-1/c),T
Q02_SCALAR_VECTOR_TENSOR_MIXTURE,Q02.E1,linear_transfer,q,K^(-1) M J,1
Q03_DISCRETE_GRAVITY_IMPULSES,Q03.E1,impulse_response,Delta_a,a_q J,L T^-2
Q03_DISCRETE_GRAVITY_IMPULSES,Q03.E2,cumulants,kappa_n(J),Lambda for every integer n>=1,1
Q04_CLASSICAL_STOCHASTIC_METRIC,Q04.E1,measurement,y,R h+n,1
Q04_CLASSICAL_STOCHASTIC_METRIC,Q04.E2,pushforward_mean,mean(y),R m+b,1
Q04_CLASSICAL_STOCHASTIC_METRIC,Q04.E3,pushforward_covariance,Cov(y),R C R^T+N,1
Q05_SEMICLASSICAL_EXPECTATION_SOURCE,Q05.E1,expectation_source,F_sc,sum_i p_i F_i,L T^-2
Q06_GRAVITATIONAL_COLLAPSE_DECOHERENCE,Q06.E1,visibility,V(t)/V(0),exp(-Gamma t),1
Q07_ENTANGLEMENT_MEDIATED_GRAVITY,Q07.E1,branch_phase,phi_ab,-G m1 m2 t/(hbar r_ab),1
Q07_ENTANGLEMENT_MEDIATED_GRAVITY,Q07.E2,pure_state_concurrence,C,abs(sin((phi_00+phi_11-phi_01-phi_10)/2)),1
Q08_EMERGENT_SUPERFLUID_MEDIUM,Q08.E1,fixture_phase_fraction,f_s,"max(0,1-(T/Tc)^(3/2))",1
Q08_EMERGENT_SUPERFLUID_MEDIUM,Q08.E2,extra_acceleration,a_extra,a0 f_s,L T^-2
Q09_DISPERSIVE_GRAVITY_WAVE_PACKET,Q09.E1,dispersion,omega^2,c^2(k^2+mu^2+eta k^4/kstar^2),T^-2
Q10_POLARIZATION_BIREFRINGENT_GRAVITY,Q10.E1,network_response,d,F h+n,1
Q10_POLARIZATION_BIREFRINGENT_GRAVITY,Q10.E2,identifiability,identified_mode_dimension,rank(F;rank_tol),1
Q11_FINITE_OCCUPATION_COHERENCE,Q11.E1,coherent_variance,Var(N)_coh,nbar,1
Q11_FINITE_OCCUPATION_COHERENCE,Q11.E2,thermal_variance,Var(N)_th,nbar(nbar+1),1
Q11_FINITE_OCCUPATION_COHERENCE,Q11.E3,squeezed_quadrature,Var(X_-)/Var(X_vac),exp(-2r),1
Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,Q12.E1,memory_dynamics,ddot(q)+2Gamma dot(q)+omega0^2 q,lambda S+xi,T^-2
Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,Q12.E2,transfer,H(omega),lambda/(omega0^2-omega^2-2iGamma omega),source^-1
Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,Q12.E3,ringdown_envelope,A(t)/A(0),exp(-Gamma t),1
Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,Q13.E1,jump_sde,dN_t,dJ_plus(t)-dJ_minus(t),1
Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,Q13.E2,jump_intensities,E[dJ_plus|N]/dt ; E[dJ_minus|N]/dt,lambda ; N/tau,T^-1
Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,Q13.E3,stationary_pgf,G_N(z),exp(lambda tau (z-1)),1
Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,Q13.E4,stationary_cumulants,kappa_n(N),lambda tau for every integer n>=1,1
Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,Q13.E5,stationary_autocovariance,"Cov(N_t,N_(t+s))",lambda tau exp(-abs(s)/tau),1
Q14_POSTQUANTUM_CLASSICAL_QUANTUM_GRAVITY,Q14.E1,cq_normalization,integral dz Tr varrho(z),1,1
Q14_POSTQUANTUM_CLASSICAL_QUANTUM_GRAVITY,Q14.E2,normalized_cp_block,M,"[[D0,D1],[D1,D2]]",1
Q14_POSTQUANTUM_CLASSICAL_QUANTUM_GRAVITY,Q14.E3,scalar_cp_condition,det(M),"D0 D2-D1^2 >=0 with D0>=0,D2>=0",1
Q15_KTM_CLASSICAL_CHANNEL_BOUNDARY,Q15.E1,normalized_noise_cost,D_total(gamma),gamma+g^2/(4gamma),1
Q15_KTM_CLASSICAL_CHANNEL_BOUNDARY,Q15.E2,classical_channel_bound,D_total,">=abs(g), equality at gamma=abs(g)/2",1
