branch_id,class,field_law,photon_law,dimension_check,next_test_priority,disposition,observational_fit
VQ00_STANDARD_FLRW_PECULIAR_CONTROL,KNOWN_CONTROL,Q is absent,ln(1+z)=ln(a_o/a_e)+atanh(v_los/c),1=ln(1)+atanh(1),0,MANDATORY_KNOWN_CONTROL,UNOPENED_NOT_SCORED
VQ01_DIRECT_LOAD_OPTICAL_DEPTH,DIRECT_CUMULATIVE_HYPOTHESIS,Q is an externally specified scalar load in the synthetic fixture,d ln(nu)/dt_b=-eta Q; Delta ln(nu)=-(eta/c) integral Q dell,1=(T^-1)/(L T^-1)*integral(1 L),10,RETAIN_DIRECT_OPTICAL_BASELINE,UNOPENED_NOT_SCORED
VQ02_SLOWED_LIGHT_NONLINEAR_EXPOSURE,DIRECT_SLOWED_PHOTON_HYPOTHESIS,Q is externally specified and must satisfy 1+beta Q>0,c_eff=c/(1+beta Q); Delta ln(nu)=-(eta/c) integral [Q+beta Q^2] dell,L T^-1=(L T^-1)/1; 1=(T^-1)/(L T^-1)*L,7,RETAIN_NONLINEAR_DELAY_SCREEN,UNOPENED_NOT_SCORED
VQ03_LOCAL_EQUILIBRIUM_LOAD,LOCAL_SOURCE_SINK_HYPOTHESIS,Q=J_g/(Gamma_0+Gamma_b rho_b),Delta ln(nu)=-(eta/c) integral Q dell,1=(T^-1)/(T^-1+L^3 M^-1 T^-1*M L^-3),9,RETAIN_LOCAL_EQUILIBRIUM_BASELINE,UNOPENED_NOT_SCORED
VQ04_YUKAWA_NONLOCAL_BARYON_FEED,NONLOCAL_SOURCE_SINK_HYPOTHESIS,J_g(x)=A_feed integral K_L(|x-x'|) rho_b(x') d^3x'; K_L=exp(-r/L_g)/(4 pi L_g^2 r); Q=J_g/(Gamma_0+Gamma_b rho_b),Delta ln(nu)=-(eta/c) integral Q dell,T^-1=(L^3 M^-1 T^-1)*L^-3*(M L^-3)*L^3,8,RETAIN_NONLOCAL_FEED_SCREEN,UNOPENED_NOT_SCORED
VQ05_DIFFUSIVE_SOURCE_SINK_RESERVOIR,CAUSAL_RESERVOIR_HYPOTHESIS,partial_t Q=D_g laplacian Q+J_g-(Gamma_0+Gamma_b rho_b)Q,"Delta ln(nu)=-(eta/c) integral Q(t_ray,x_ray) dell",T^-1=(L^2 T^-1)L^-2+T^-1-T^-1,4,RETAIN_TRANSIENT_RESERVOIR_FALSIFIER,UNOPENED_NOT_SCORED
VQ06_BARYONIC_COLUMN_ATTENUATION,ATTENUATED_NONLOCAL_HYPOTHESIS,"Q(x)=A_load integral rho_b(x') K_L(r) exp[-sigma_g Sigma_b(x',x)] d^3x'",Delta ln(nu)=-(eta/c) integral Q dell,1=(L^3 M^-1)*(M L^-3); sigma_g Sigma_b=(L^2 M^-1)*(M L^-2)=1,3,RETAIN_GEOMETRIC_ATTENUATION_FALSIFIER,UNOPENED_NOT_SCORED
VQ07_INVERSE_DENSITY_HUBBLE_MIMIC,EMPIRICAL_PHENOMENOLOGY,Q=[(rho_bar+rho_star)/(rho_b+rho_star)]^n,Delta ln(nu)=-(H_g/c) integral Q dell,1=(T^-1)/(L T^-1)*L; density ratio is dimensionless,6,RETAIN_CONTINUOUS_DENSITY_SCREEN,UNOPENED_NOT_SCORED
VQ08_TWO_PHASE_VOID_MATTER,MINIMAL_EMPIRICAL_DISCRIMINATOR,each path cell is void if rho_b/rho_bar<0.65 and matter-rich otherwise,Delta ln(nu)=-(H_v L_v+H_m L_m)/c,1=(T^-1*L)/(L T^-1),5,FIRST_LOW_COMPLEXITY_EMPIRICAL_SCREEN,UNOPENED_NOT_SCORED
VQ09_PHOTON_CARRIED_LOAD_MEMORY,ORDER_SENSITIVE_PHOTON_STATE_HYPOTHESIS,Q=J_g/(Gamma_0+Gamma_b rho_b); dq_gamma/dt_b=a Q-(b_0+b_b rho_b)q_gamma,d ln(nu)/dt_b=-eta_gamma q_gamma,T^-1=T^-1*1-(T^-1+L^3 M^-1 T^-1*M L^-3)*1,1,LEAD_ORDER_SENSITIVE_FALSIFIER_ACTION_REQUIRED,UNOPENED_NOT_SCORED
VQ10_RESERVOIR_PLUS_SLOWED_PHOTON,COMBINED_LEAD_HYPOTHESIS,Q solves VQ05 and must satisfy 1+beta Q>0,c_eff=c/(1+beta Q); Delta ln(nu)=-(eta/c) integral [Q+beta Q^2] dell,VQ05 dimensions plus the dimensionless VQ02 exposure,2,LEAD_JOINT_REDSHIFT_DELAY_FALSIFIER_ACTION_REQUIRED,UNOPENED_NOT_SCORED
